"Serial #","Child Serial #"
"6223.","CP6023"
"6245","950156"
"6249-3","05120263"
"6249-9","9337"
"6249/1","7016759"
"6330","5107"
"6340","49150"
"6340","50943"
"6340","50946"
"6436","24002789"
"6437","9337.."
"657556","H88846"
"6779","OEQ7078114"
"6911","T0036094"
"706","901299"
"7166","140337"
"7177","7971"
"7249","15929"
"7249","15960"
"7249","15962"
"7249","15976"
"7249","16740"
"7249","17949"
"7260","255662"
"7273","8019"
"7273","8021"
"7273","8213"
"7273","8280"
"7513","113875"
"7514","113325"
"7514","OEQ7016776"
"7515","7988"
"7593","8221"
"7593","8246"
"7593","9445"
"7593","9448"
"7594","B425"
"7669","4582"
"7671","24161"
"7672","350097"
"7767","61996"
"7783","102180"
"7783","24007285"
"7863","650496"
"7900","22775"
"7900","23252"
"7900","23263"
"7900","24635"
"7924","036923"
"7924","036925"
"7924","OEQ707278"
"7929","101905"
"7947","115904"
"7948","116655"
"7948_T","11728_T"
"7948_T","11735_T"
"7948_T","11740_T"
"7948_T","11742_T"
"7948_T","8838_T"
"8077","11624"
"8077","116624"
"8078","171531"
"8274","OEQ7054627"
"8278","171592"
"8278","P977879"
"8329","481694"
"8330","954419"
"8370","208121"
"8430","171527"
"8430","183367"
"8430","183367A"
"8542","J137/J121"
"8544","J107/J141"
"8646","037020"
"8646","037027"
"8646","037030"
"8646","037032"
"8646","8646A"
"8646","OEQ7085540"
"8932","H412"
"8932","H426"
"8932","Q215"
"8932","Q233"
"8979","258617"
"8979","OEQ7116805"
"8981","253714"
"9019","293497"
"9019","9019A"
"9022_T","9444_T"
"9022_T","9871_T"
"9022_T","9884_T"
"919","17670"
"919","17710"
"919","17711"
"919","17735"
"9315","9315A"
"9325","329596"
"9325","9325A"
"9325","OEQ7106956"
"9382","10398"
"9385","317340"
"9584","187670"
"9587","OEQ7117432"
"9614","NIL..."
"9637.","H612463W"
"9637.","H617236W"
"9637.","H617237W"
"9637.","H619307W"
"JC1147","15919"
"JC1147","15967"
"JC1147","15983"
"JC1147","16748"
"JC1147","75148"
"JC1171","767269"
